"name","guess","confidence","female","male","source"
"Hilmar Bischoff DE","male",0.5,1,1,"bing"
"Verena Vohringer DE","male",0.941176470588235,1,16,"bing"
"Axel Kretschmer DE","male",0.5,1,1,"bing"
"Christiane Faeste DE","female",0.75,3,1,"bing"
"Huey-Huey Lo TW","male",0.8,1,4,"bing"
"Wan-Hsiang Chen TW","male",0.5,1,1,"bing"
"Charles E. Wilkes US","male",0.9375,1,15,"bing"
"Takanori Miyoshi JP","male",0.833333333333333,1,5,"bing"
"Hiroshi Sakurai JP","male",0.857142857142857,1,6,"bing"
"Toyoaki Ishiwata JP","female",0.75,3,1,"bing"
"Shunichi Matsumura JP","female",0.7,7,3,"bing"
"Deog Jae Jo KR","male",0.666666666666667,1,2,"bing"
"Zhi Hong US","female",0.833333333333333,5,1,"bing"
"Haoyun An US","male",0.833333333333333,1,5,"bing"
"Ching-Jer Chang US","male",0.5,1,1,"bing"
"Curtis L. Ashendel US","male",0.5,1,1,"bing"
"Darrick Kim US","male",0.916666666666667,1,11,"bing"
"Timothy D Machajewski US","male",0.75,1,3,"bing"
"Giuseppe Alvaro IT","male",0.8,1,4,"bing"
"Romano Di Fabio IT","male",0.8,1,4,"bing"
"Riccardo Giovannini IT","male",0.5,1,1,"bing"
"Giuseppe Guercio IT","male",0.818181818181818,2,9,"bing"
"Yves St-Denis IT","male",0.875,1,7,"bing"
"Antonella Ursini IT","female",0.75,3,1,"bing"
"Alessandro Pontiroli IT","male",0.5,1,1,"bing"
"Daniel David West US","male",0.95,1,19,"bing"
"Jerry I. Jacobson US","male",0.971428571428571,1,34,"bing"
"Yong Ke US","male",0.909090909090909,1,10,"bing"
"Perry Renshaw US","male",0.888888888888889,1,8,"bing"
"Steven Lowen US","male",0.833333333333333,1,5,"bing"
"Michael Dylan Pollock US","male",0.9375,1,15,"bing"
"William Bauer US","male",0.904761904761905,2,19,"bing"
"Wolfgang Neuberger MY","male",0.8,1,4,"bing"
"Stefan Spaniol DE","male",0.5,1,1,"bing"
"Hans-Peter Bode DE","male",0.5,1,1,"bing"
"Thierry Patrice FR","male",0.5,1,1,"bing"
"Ludovic Bourre FR","male",0.75,1,3,"bing"
"Gou-Jen Wang TW","male",0.666666666666667,1,2,"bing"
"Jhy-Cherng Tsai TW","male",0.875,1,7,"bing"
"Jau-Liang Chen TW","male",0.5,1,1,"bing"
"Ofir Bochobza-Degani IL","male",0.833333333333333,1,5,"bing"
"David Elata IL","male",0.666666666666667,1,2,"bing"
"Yael Nemirovsky IL","male",0.7,3,7,"bing"
"Eran Socher IL","male",0.857142857142857,1,6,"bing"
"Joseph F. Wenzl US","male",0.8,1,4,"bing"
"Peter M. Hines US","male",0.5,1,1,"bing"
"Robert W. Keyes US","male",0.916666666666667,1,11,"bing"
"Ronald A. Harrow US","male",0.666666666666667,1,2,"bing"
"Jeffrey W. Mote US","male",0.5,1,1,"bing"
"Mitchell Van Ochten US","male",0.5,1,1,"bing"
"Akio Yabuuchi JP","male",0.666666666666667,1,2,"bing"
"Yasuaki Fukushima JP","male",0.933333333333333,1,14,"bing"
"Kenichi Kobayashi JP","male",0.75,1,3,"bing"
"Toshio Yamashita JP","male",0.923076923076923,1,12,"bing"
"Kazuteru Ofuchi JP","female",0.625,5,3,"bing"
"Mark Gaston Cappelle BE","male",0.75,1,3,"bing"
"Michael Leon Barron US","male",0.75,1,3,"bing"
"Yoshiyuki Kasai JP","male",0.833333333333333,1,5,"bing"
"Manuel Markus Hernier DE","male",0.5,1,1,"bing"
"Hartmut Bobertag DE","male",0.75,1,3,"bing"
"Waldemar Stark DE","male",0.5,1,1,"bing"
"William Thompson Hanna US","male",0.833333333333333,1,5,"bing"
"George Henry Stickford US","male",0.857142857142857,1,6,"bing"
"John Gordon Coll US","male",0.916666666666667,1,11,"bing"
"Roger Rhenium US","male",0.5,1,1,"bing"
"Bret Edward Cahill US","male",0.75,1,3,"bing"
"Wei Young US","female",0.791666666666667,19,5,"bing"
"J. Lawrence Taylor US","male",0.967741935483871,1,30,"bing"
"Paul R. Bennett US","male",0.875,1,7,"bing"
"Steven D. Pratt US","male",0.909090909090909,1,10,"bing"
"Sivakumar Muthuswamy US","male",0.666666666666667,1,2,"bing"
"Ronald J. Kelley US","male",0.875,1,7,"bing"
"Robert W. Pennisi US","male",0.75,1,3,"bing"
"Laura Jane Bailey US","female",0.956521739130435,44,2,"bing"
"Shi-Sheng Wang TW","male",0.6,2,3,"bing"
"Jorge E. Gonzalez US","male",0.888888888888889,1,8,"bing"
"Susumu Miyagawa JP","male",0.5,1,1,"bing"
"Masanori Hashimoto JP","male",0.857142857142857,1,6,"bing"
"Naoki Hotta JP","female",0.777777777777778,7,2,"bing"
"Shinji Yoshinari JP","male",0.944444444444444,1,17,"bing"
"David Haman US","male",0.9375,1,15,"bing"
"Shigeaki Yamamuro JP","male",0.75,1,3,"bing"
"Naotaka Nakura JP","female",0.777777777777778,7,2,"bing"
"Yuji Noguchi JP","male",0.8,1,4,"bing"
"Yutaka Nishikawa JP","male",0.5,1,1,"bing"
"Daniel Guy Pomerleau CA","male",0.5,1,1,"bing"
"Gary Knutson US","male",0.888888888888889,1,8,"bing"
"Dusty Keashly CA","female",0.666666666666667,2,1,"bing"
"Gunter Kampichler DE","male",0.5,1,1,"bing"
"Jurgen Schiemann DE","male",0.5,1,1,"bing"
"Shoji Miyazaki JP","male",0.9,1,9,"bing"
"Shinzaburo Ichiman JP","female",0.777777777777778,7,2,"bing"
"Hiroaki Akita JP","male",0.833333333333333,1,5,"bing"
"Toshiteru Ando JP","male",0.5,1,1,"bing"
"Anil Kumar Sachdev US","male",0.8,1,4,"bing"
"Chin-Hsiu Li US","female",0.714285714285714,5,2,"bing"
"Alexander Millerman US","male",0.941176470588235,1,16,"bing"
"Yhu-Tin Lin US","male",0.666666666666667,1,2,"bing"
"Brian Daniel Kaminski US","male",0.5,1,1,"bing"
"Thomas J. Klakulak US","female",0.625,5,3,"bing"
"George E. Donaldson US","male",0.875,1,7,"bing"
"Domenico Carbone IT","male",0.5,1,1,"bing"
"Claude Quettier FR","male",0.5,1,1,"bing"
"Giovanni Semino IT","male",0.5,1,1,"bing"
"Ernesto Fossati IT","male",0.857142857142857,1,6,"bing"
"Mark S. Blair US","male",0.666666666666667,1,2,"bing"
"Robert E. Braatz US","male",0.8,1,4,"bing"
"James N. Mashak US","male",0.5,1,1,"bing"
"Norman A. Rick US","male",0.9375,1,15,"bing"
"Robert Q. Tham US","male",0.75,1,3,"bing"
"Ronald L. Tobia US","male",0.5,1,1,"bing"
"Dexter G. Smith US","male",0.857142857142857,1,6,"bing"
"Protagoras N. Cutchis US","male",0.857142857142857,1,6,"bing"
"William P. Wiesmann US","male",0.666666666666667,1,2,"bing"
"Loland A. Pranger US","male",0.5,1,1,"bing"
"Michael T. Dean US","male",0.857142857142857,1,6,"bing"
"Otis S. Moreman US","male",0.666666666666667,1,2,"bing"
"Herbert Wachtel DE","male",0.869565217391304,3,20,"bing"
"Allen J. Huff US","male",0.833333333333333,1,5,"bing"
"Robert C. Steele US","male",0.928571428571429,1,13,"bing"
"Rob Baumert US","male",0.857142857142857,1,6,"bing"
"Craig Greenhill CA","male",0.777777777777778,2,7,"bing"
"Henry H. Voss CA","male",0.916666666666667,1,11,"bing"
"Brian Wells CA","male",0.961538461538462,1,25,"bing"
"Marc Charbonneaux FR","male",0.933333333333333,1,14,"bing"
"Patrice Morchain FR","male",0.857142857142857,1,6,"bing"
"Pierre Piccaluga FR","male",0.5,1,1,"bing"
"Claude-Annie Perrichon FR","male",0.5,2,2,"bing"
"Rolf Schroder DE","male",0.8,1,4,"bing"
"Reinhard De Boer DE","male",0.947368421052632,1,18,"bing"
"Hans-Joachim Grapentin DE","male",0.5,1,1,"bing"
"Regina Czeczka DE","male",0.5,1,1,"bing"
"John G. Pursell GB","male",0.8,1,4,"bing"
"Luca Pividori IT","female",0.75,3,1,"bing"
"Amitava Datta US","male",0.833333333333333,1,5,"bing"
"Franco Graziani IT","male",0.9375,1,15,"bing"
"Massimo Iacobelli IT","male",0.5,1,1,"bing"
"Simone Pratesi IT","male",0.5,1,1,"bing"
"Terry P. Cleland CA","male",0.75,1,3,"bing"
"Larry J. Ferriman CA","male",0.5,1,1,"bing"
"Klaus K. Bytzek CA","male",0.5,1,1,"bing"
"Gary Spicer CA","male",0.8,1,4,"bing"
"Toshio Kunitake JP","male",0.5,1,1,"bing"
"Romi Mayder US","male",0.75,1,3,"bing"
"Noriyuki Sugihara US","male",0.666666666666667,1,2,"bing"
"Andrew Tse US","female",0.6,6,4,"bing"
"Randy L. Bailey US","male",0.75,1,3,"bing"
"George W. Hempel US","male",0.857142857142857,1,6,"bing"
"Raymond G. Jussaume US","male",0.833333333333333,1,5,"bing"
"Pan Min SE","male",0.5,1,1,"bing"
"Li Ming SE","female",0.85,51,9,"bing"
"Rongsheng Liu SE","male",0.875,1,7,"bing"
"Mikael Dahlgren SE","male",0.8,1,4,"bing"
"Par Holmberg SE","male",0.666666666666667,1,2,"bing"
"Gunnar Russberg SE","male",0.5,1,1,"bing"
"Christian Sasse SE","male",0.666666666666667,1,2,"bing"
"Svante Soderholm SE","male",0.75,1,3,"bing"
"Isao Tomomatsu JP","female",0.777777777777778,7,2,"bing"
"Takahiro Ueno JP","male",0.888888888888889,1,8,"bing"
"Mitsuo Yoshino JP","male",0.5,1,1,"bing"
"Shinji Satoh JP","male",0.866666666666667,2,13,"bing"
"Hiroki Hamada JP","male",0.5,1,1,"bing"
"Kustaa Nyholm FI","male",0.666666666666667,1,2,"bing"
"Max Shurgalin US","male",0.5,1,1,"bing"
"Yoel Fink US","male",0.833333333333333,1,5,"bing"
"Steven G. Johnson US","male",0.964285714285714,1,27,"bing"
"Mihai Ibanescu US","male",0.666666666666667,1,2,"bing"
"Chih-Kung Lee TW","male",0.954545454545455,1,21,"bing"
"Shuen-Chen Shiue TW","male",0.8,5,20,"bing"
"Shu-Sheng Lee TW","male",0.666666666666667,1,2,"bing"
"Jiun-Yan Wu TW","male",0.5,1,1,"bing"
"Chii-Wann Lin TW","male",0.5,2,2,"bing"
"Shiming Lin TW","male",0.75,1,3,"bing"
"Hyun-Ho Oh KR","female",0.733333333333333,11,4,"bing"
"Jong-Uk Bu KR","male",0.928571428571429,1,13,"bing"
"Don-Hee Lee KR","male",0.777777777777778,2,7,"bing"
"Jasna Roeth DE","male",0.5,4,4,"bing"
"Manfred Bartel DE","male",0.5,1,1,"bing"
"Yeou-Yen Cheng US","female",0.666666666666667,2,1,"bing"
"Ying-Moh Liu US","male",0.5,1,1,"bing"
"Cheng-Hsi Miao US","male",0.8,1,4,"bing"
"Tan C. Mac US","male",0.5,1,1,"bing"
"James Robert Kitchen GB","male",0.857142857142857,1,6,"bing"
"Helenaur Wilson GB","male",0.5,2,2,"bing"
"Nigel Dean Ritson GB","male",0.666666666666667,1,2,"bing"
"Andrew P. Tosh US","male",0.964285714285714,2,54,"bing"
"Edward T. Rodriguez US","male",0.888888888888889,1,8,"bing"
"Gary R. Fuchs US","male",0.75,1,3,"bing"
"Satoshi Shikami JP","male",0.833333333333333,1,5,"bing"
"Masato Kawasaki JP","male",0.833333333333333,1,5,"bing"
"Kenneth W. Stearns US","male",0.5,1,1,"bing"
"Mark Eugene Noe US","male",0.5,1,1,"bing"
"Toby George Darkins US","male",0.666666666666667,1,2,"bing"
"Roger Lee Doughty US","male",0.666666666666667,5,10,"bing"
"Thomas G. Mulcaire GB","male",0.833333333333333,1,5,"bing"
"Michael T. Holdsworth GB","male",0.888888888888889,1,8,"bing"
"Richard Evans GB","male",0.928571428571429,1,13,"bing"
"Alain Dominique Genraud FR","male",0.5,1,1,"bing"
"Tsuneharu Kushida JP","male",0.5,1,1,"bing"
"Kenji Kawamoto JP","male",0.5,1,1,"bing"
"Hakaru Takamatsu JP","male",0.666666666666667,1,2,"bing"
"Atsukuni Waragai JP","female",0.7,7,3,"bing"
"Takeshi Nonaka JP","male",0.666666666666667,1,2,"bing"
"Kazunori Uchiyama JP","female",0.777777777777778,7,2,"bing"
"Naoki Hakamada JP","female",0.777777777777778,7,2,"bing"
"Takahiro Yamaguchi JP","male",0.5,1,1,"bing"
"Takashi Satou JP","female",0.555555555555556,5,4,"bing"
"Guy-Michel Raynaud FR","male",0.888888888888889,1,8,"bing"
"Jean-Luc Hoffmann FR","male",0.5,1,1,"bing"
"Laurent Cottignies FR","male",0.5,1,1,"bing"
"Georges Pillet FR","male",0.5,1,1,"bing"
"Robert C. Whitson US","male",0.833333333333333,1,5,"bing"
"Russell J. Micinski US","male",0.5,1,1,"bing"
"Michael K. Brown US","male",0.888888888888889,1,8,"bing"
"Richard Carroni CH","male",0.666666666666667,1,2,"bing"
"Timothy A. Griffin CH","male",0.875,1,7,"bing"
"Verena Schmidt CH","female",0.666666666666667,2,1,"bing"
"Yukio Kinoshita JP","male",0.666666666666667,1,2,"bing"
"Kei Miwa JP","female",0.923076923076923,12,1,"bing"
"Dennis Stamires US","male",0.75,1,3,"bing"
"Michael F. Brady US","male",0.928571428571429,1,13,"bing"
"William Jones GB","male",0.933333333333333,1,14,"bing"
"Fathi Kooli JP","male",0.5,1,1,"bing"
"Thomas Rheinlander CH","female",0.555555555555556,5,4,"bing"
"Gul Caglar DE","male",0.75,1,3,"bing"
"Patrick J. Farrell CA","male",0.666666666666667,1,2,"bing"
"Lashitew Gedamu CA","male",0.75,1,3,"bing"
"Kostas Iatrou CA","male",0.833333333333333,1,5,"bing"
"Oron Yacoby-Zeevi IL","female",0.857142857142857,6,1,"bing"
"Yashwant M. Deo US","male",0.5,1,1,"bing"
"Tibor Keler US","male",0.833333333333333,1,5,"bing"
"John Treml US","male",0.916666666666667,1,11,"bing"
"Michael Endres US","male",0.923076923076923,1,12,"bing"
"Leonard L. Mazur US","male",0.75,1,3,"bing"
"Nadhamuni G. Nerella US","male",0.5,1,1,"bing"
"Gregory Du Browny US","male",0.8,1,4,"bing"
"Gholam A. Peyman US","male",0.96969696969697,1,32,"bing"
"Tobias Laich DE","male",0.5,1,1,"bing"
"Jan-Olav Henck DE","male",0.8,1,4,"bing"
"Beuford Arlie Bogue US","male",0.8,1,4,"bing"
"Hyung-Min Kim KR","male",0.875,1,7,"bing"
"Hyung Ja You KR","female",0.6,3,2,"bing"
"Sang-Bong Seo KR","male",0.666666666666667,4,8,"bing"
"Kevin D. Rea US","male",0.75,1,3,"bing"
"Stephen C. Lapin US","male",0.833333333333333,1,5,"bing"
"Narsimhan Raghunathan NL","male",0.5,1,1,"bing"
"Jean Ann Skiles US","female",0.888888888888889,8,1,"bing"
"Richard Davis GB","male",0.923076923076923,1,12,"bing"
"Sang-Young Lee KR","male",0.75,1,3,"bing"
"Byeong-In Ahn KR","male",0.9,1,9,"bing"
"Sung-Gap Im KR","male",0.75,1,3,"bing"
"Soon-Yong Park KR","male",0.5,1,1,"bing"
"Heon-Sik Song KR","male",0.666666666666667,1,2,"bing"
"You-Jin Kyung KR","female",0.948717948717949,37,2,"bing"
"Patricia A. Broderick US","female",0.956521739130435,22,1,"bing"
"Steven V. Pacia US","male",0.888888888888889,1,8,"bing"
"Vince Hilser US","male",0.916666666666667,1,11,"bing"
"Robert O. Fox US","male",0.666666666666667,1,2,"bing"
"Thomas F. Zioncheck US","male",0.666666666666667,1,2,"bing"
"Geralyn G. DeGuzman US","female",0.857142857142857,6,1,"bing"
"Rodney Gene Keck US","male",0.8,1,4,"bing"
"Owen H. Bailey US","male",0.5,1,1,"bing"
"Jean J. Balland FR","male",0.5,1,1,"bing"
"Sergio Quelhas US","male",0.75,1,3,"bing"
"Bart Schreurs BE","male",0.75,1,3,"bing"
"Wen-Chiang Huang US","male",0.8,1,4,"bing"
"Tomas Diaz de la Rubia US","male",0.888888888888889,1,8,"bing"
"Jung-Chin Chen TW","male",0.666666666666667,1,2,"bing"
"Cheng-Han Lee TW","male",0.5,1,1,"bing"
"Rajinder Dhindsa US","male",0.75,1,3,"bing"
"Eric Lenz US","male",0.888888888888889,1,8,"bing"
"Roger E. Weiss US","male",0.857142857142857,1,6,"bing"
"Christopher Cornell US","male",0.985294117647059,1,67,"bing"
"Peter-Josef Bauer BE","male",0.833333333333333,1,5,"bing"
"Thomas Lott DE","male",0.75,1,3,"bing"
"Rainer Becker FR","male",0.833333333333333,1,5,"bing"
"Michael Speth DE","male",0.875,1,7,"bing"
"Christian Meyer DE","male",0.9375,1,15,"bing"
"Luis J. Lazaro US","male",0.5,1,1,"bing"
"David P. Carter US","male",0.923076923076923,1,12,"bing"
"Todd A. Cerni US","male",0.8,1,4,"bing"
"Barry Weinstein US","male",0.875,1,7,"bing"
"Chih-Yun Ku TW","male",0.666666666666667,1,2,"bing"
"LOUIS J NICASTRO US","male",0.888888888888889,1,8,"bing"
"Alan G. Holmes US","male",0.75,1,3,"bing"
"Edward H. Gervais US","male",0.5,1,1,"bing"
"Dale Lee Kwasniewski US","male",0.666666666666667,1,2,"bing"
"Lawrence Paul Wagle US","male",0.8,1,4,"bing"
"James Foltan. Ziech US","male",0.75,1,3,"bing"
"Nerio Alessandri IT","male",0.916666666666667,1,11,"bing"
"Roberto Zini IT","male",0.5,1,1,"bing"
"Lars Thim DK","male",0.75,1,3,"bing"
"Steen Seier Poulsen DK","male",0.5,1,1,"bing"
"Erkki I. Ruoslahti US","male",0.928571428571429,1,13,"bing"
"Michael T. Longaker US","male",0.916666666666667,1,11,"bing"
"David J. Whitby GB","male",0.5,2,2,"bing"
"John R. Harper US","male",0.928571428571429,1,13,"bing"
"Michael D. Pierschbacher US","male",0.8,2,8,"bing"
"Wayne A. Border US","male",0.833333333333333,1,5,"bing"
"Marc Karel Jozef Francois BE","male",0.5,1,1,"bing"
"Willy Maria Dries BE","female",0.555555555555556,5,4,"bing"
"Jong Seog Ahn KR","male",0.666666666666667,1,2,"bing"
"Bo Yeon Kim KR","female",0.795454545454545,35,9,"bing"
"Won Keun Oh KR","male",0.833333333333333,1,5,"bing"
"Tae Ick Mheen KR","male",0.5,1,1,"bing"
"Dae Ook Kang KR","male",0.909090909090909,1,10,"bing"
"Hack Ryong Ko KR","male",0.666666666666667,1,2,"bing"
"Issam Raad US","male",0.75,1,3,"bing"
"Robert Sherertz US","male",0.916666666666667,1,11,"bing"
"Ray Hachem US","male",0.666666666666667,1,2,"bing"
"Eric Von Hofe US","male",0.875,1,7,"bing"
"Avikam Harel IL","male",0.666666666666667,1,2,"bing"
"Olga Bloch IL","male",0.5,1,1,"bing"
"John Dixon GB","male",0.933333333333333,1,14,"bing"
"Robert Humphries GB","male",0.75,1,3,"bing"
"Gavin Jarvis GB","male",0.5,1,1,"bing"
"Ian Kirk GB","male",0.966666666666667,1,29,"bing"
"John Lipari US","male",0.6,4,6,"bing"
"Laman A. Al-Razzak US","male",0.5,1,1,"bing"
"Rong Gao US","male",0.6,2,3,"bing"
"Eric Gould Gundersen US","male",0.947368421052632,1,18,"bing"
"Alan Leslie Cripps GB","male",0.5,1,1,"bing"
"Paul Johnson GB","male",0.95,1,19,"bing"
"Philip Christopher Buxton GB","male",0.75,2,6,"bing"
"Seona Thomson GB","male",0.5,2,2,"bing"
"Frederick R. Kinder US","male",0.75,1,3,"bing"
"Prasad K. Kapa US","male",0.5,1,1,"bing"
"Eric M. Loeser US","male",0.5,1,1,"bing"
"Roger Bonnert GB","male",0.5,1,1,"bing"
"Fraser Hunt GB","male",0.75,1,3,"bing"
"Robert Jewell GB","male",0.857142857142857,2,12,"bing"
"Iain Walters GB","male",0.75,1,3,"bing"
"John A. Ascher US","male",0.666666666666667,1,2,"bing"
"Johnston Andrews Joseph US","male",0.933333333333333,1,14,"bing"
"Learned-Coughlin Marie Susan US","male",0.5,1,1,"bing"
"Alan Bye GB","male",0.888888888888889,1,8,"bing"
"Hermanus Henricus Gerardus Berendsen NL","male",0.833333333333333,1,5,"bing"
"Derek L. Tickner US","male",0.5,1,1,"bing"
"Linda S. Newton US","female",0.888888888888889,8,1,"bing"
"Zheng J. Li US","female",0.833333333333333,5,1,"bing"
"Clifford N. Meltz US","male",0.833333333333333,1,5,"bing"
"Toshio Tanaka JP","male",0.666666666666667,1,2,"bing"
"Paul Adriaan Van Der Schaaf CH","male",0.5,1,1,"bing"
"Claudia Marcolli CH","male",0.5,1,1,"bing"
"Heinz Wolleb CH","male",0.5,1,1,"bing"
"Annemarie Wolleb CH","female",0.666666666666667,2,1,"bing"
"Alvin I. Kobashigawa US","male",0.8,1,4,"bing"
"Wolfgang Kaufhold DE","male",0.5,1,1,"bing"
"Henricus Peerlings DE","male",0.888888888888889,1,8,"bing"
"Hans-Georg Hoppe DE","male",0.666666666666667,1,2,"bing"
"Wolfgang Rohrig DE","male",0.8,1,4,"bing"
"William Brown CA","male",0.833333333333333,1,5,"bing"
"John DiMaio CA","male",0.857142857142857,1,6,"bing"
"Peter Schiller CA","male",0.5,1,1,"bing"
"Rene Martel CA","female",0.714285714285714,15,6,"bing"
"Zoltan Nagy DE","male",0.666666666666667,1,2,"bing"
"Christoph Brunner DE","male",0.75,1,3,"bing"
"Michael Tesar DE","male",0.8,1,4,"bing"
"Elisabeth Thomassen Wolf DE","female",0.75,3,1,"bing"
"Robert Rauchenberger DE","male",0.925,3,37,"bing"
"Daniel Kaufmann CH","male",0.916666666666667,1,11,"bing"
"Olivier Lohse FR","male",0.75,1,3,"bing"
"Ulrich Beutler CH","male",0.666666666666667,1,2,"bing"
"Werner Zaugg CH","male",0.5,1,1,"bing"
"Cynthia Holder Jurgensen US","female",0.666666666666667,2,1,"bing"
"Michael Tolar Martin US","male",0.666666666666667,1,2,"bing"
"Martin Howard Osterhout US","male",0.666666666666667,1,2,"bing"
"Graziano Castaldi IT","male",0.5,1,1,"bing"
"Erminio Oldani IT","female",0.714285714285714,5,2,"bing"
"Theodosios Korakianitis US","male",0.8,1,4,"bing"
"Swaminathan Jayaraman US","male",0.8,1,4,"bing"
"Takashi Kawai JP","male",0.857142857142857,1,6,"bing"
"Hiroshi Tsujii JP","female",0.7,7,3,"bing"
"Ken Kuretake JP","male",0.5,1,1,"bing"
"Masanori Sugiura JP","female",0.636363636363636,7,4,"bing"
"Hideto Hanada JP","male",0.5,1,1,"bing"
"Allan J. Lippa US","male",0.666666666666667,1,2,"bing"
"Diana D. Brehob US","female",0.769230769230769,10,3,"bing"
"Jialin Yang US","female",0.9,9,1,"bing"
"Lifeng Xu US","female",0.941176470588235,16,1,"bing"
"James D. Marks US","male",0.875,1,7,"bing"
"Shan-Ming Chen TW","male",0.5,1,1,"bing"
"Justin R. Morris US","male",0.888888888888889,1,8,"bing"
"Tommy R. Oldridge US","male",0.944444444444444,1,17,"bing"
"Russell Boxall US","male",0.5,1,1,"bing"
"Nigel A. Parkes US","male",0.5,1,1,"bing"
"Patrick Harrison US","male",0.933333333333333,1,14,"bing"
"Gerd Scheying DE","male",0.5,1,1,"bing"
"Axel Hinder DE","male",0.5,1,1,"bing"
"George E. Bittner US","male",0.857142857142857,1,6,"bing"
"Andrew Schlote US","male",0.8,1,4,"bing"
"Richard J. Flatman GB","female",0.6,3,2,"bing"
"Robert Proctor US","male",0.909090909090909,2,20,"bing"
"Julius John Montgomery US","male",0.875,1,7,"bing"
"Michael Jay Epstein US","male",0.954545454545455,1,21,"bing"
"Roger Owen Barbe US","male",0.833333333333333,1,5,"bing"
"Hai Buu Sam US","male",0.75,1,3,"bing"
"James Bernar Ogzewalla US","male",0.833333333333333,1,5,"bing"
"Andrew David Kemp US","male",0.666666666666667,3,6,"bing"
"Josef Huster CH","male",0.666666666666667,1,2,"bing"
"Susanne Keller CH","female",0.9,9,1,"bing"
"Walter Lobmueller DE","male",0.5,1,1,"bing"
"Holly Chen US","female",0.8,4,1,"bing"
"Michael W. Kondratuk US","male",0.5,1,1,"bing"
"Brian W. Adkins US","male",0.909090909090909,1,10,"bing"
"Charles G. Butts US","male",0.8,2,8,"bing"
"Takao Mitsuno JP","male",0.666666666666667,1,2,"bing"
"Kou Takayama JP","male",0.5,1,1,"bing"
"Hirokazu Fukagawa JP","male",0.666666666666667,1,2,"bing"
"Takayuki Hirao JP","male",0.833333333333333,1,5,"bing"
"Kimio Nishimura JP","female",0.714285714285714,5,2,"bing"
"Kouji Itakura JP","male",0.833333333333333,1,5,"bing"
"Mitsushi Oyanagi JP","female",0.75,3,1,"bing"
"Yoshio Okada JP","male",0.9,1,9,"bing"
"Yannick Mahe FR","male",0.5,1,1,"bing"
"Ernst Isler-Sieber CH","male",0.875,1,7,"bing"
"Markus Froehlich CH","male",0.666666666666667,1,2,"bing"
"Laszlo Valaszkai SE","male",0.5,1,1,"bing"
"Bruno Jouannet SE","male",0.666666666666667,1,2,"bing"
"Marcus Karlsson SE","male",0.5,1,1,"bing"
"Yoshiyuki Kobayashi JP","male",0.888888888888889,1,8,"bing"
"William L. Brown US","male",0.956521739130435,1,22,"bing"
"William Bernard Harvey US","male",0.75,1,3,"bing"
"Gregory W. Hoverson US","male",0.5,1,1,"bing"
"Bobby W. Sanders US","male",0.888888888888889,1,8,"bing"
"Charlotte A. Sanders US","male",0.5,1,1,"bing"
"Lois J. Weir US","female",0.666666666666667,2,1,"bing"
"Inha Park KR","male",0.5,1,1,"bing"
"Tae-Kyoung Kwon KR","male",0.5,1,1,"bing"
"Jaeseok Kim KR","male",0.833333333333333,1,5,"bing"
"In-Ju Hwang KR","male",0.5,1,1,"bing"
"Jonathan M. Hitt US","male",0.5,1,1,"bing"
"Gregg D. Olson US","male",0.727272727272727,3,8,"bing"
"Philip D. Nguyen US","male",0.928571428571429,1,13,"bing"
"Michael W. Sanders US","male",0.5,1,1,"bing"
"Ron Gibson US","male",0.941176470588235,1,16,"bing"
"David Lord US","male",0.909090909090909,2,20,"bing"
"David McMechan US","male",0.5,1,1,"bing"
"Min-Chyr Lin TW","female",0.875,7,1,"bing"
"Phillip d. Mooneyham US","male",0.8,1,4,"bing"
"Kunihiro Ueda JP","male",0.833333333333333,1,5,"bing"
"Tetsuya Kuwashima JP","female",0.714285714285714,5,2,"bing"
"Shunji Saruki JP","female",0.714285714285714,5,2,"bing"
"Michael Francis Xavier Gigliotti US","male",0.857142857142857,1,6,"bing"
"Ann Melinda Ritter US","female",0.9375,15,1,"bing"
"Lee Cranford Perocchi US","male",0.5,1,1,"bing"
"Noel A. Heiks US","female",0.8,4,1,"bing"
"George Yefchak US","male",0.666666666666667,1,2,"bing"
"Carl Myerholtz US","male",0.8,1,4,"bing"
"Gangqiang Li US","male",0.666666666666667,1,2,"bing"
"John William Hanify US","male",0.833333333333333,1,5,"bing"
"Debra Lynn Prikkel US","female",0.8,4,1,"bing"
"Mrinal Thakur US","female",0.906976744186046,39,4,"bing"
"Jong Sik Kim KR","male",0.9,1,9,"bing"
"Young Soo Kwon KR","male",0.666666666666667,1,2,"bing"
"Jung Meung Roh KR","male",0.636363636363636,4,7,"bing"
"Stephen Anthony Diana US","male",0.666666666666667,1,2,"bing"
"Paul C. Wareham CA","male",0.75,1,3,"bing"
"David Langham CA","male",0.923076923076923,1,12,"bing"
"David J. Naish CA","male",0.833333333333333,1,5,"bing"
"Young-Woo Kwon KR","male",0.642857142857143,5,9,"bing"
"Chang-Yul Cheon KR","male",0.666666666666667,1,2,"bing"
"Kevin Girard Conwell US","male",0.928571428571429,1,13,"bing"
"Matt Adams US","male",0.962962962962963,1,26,"bing"
"Allan Gardiner US","male",0.954545454545455,2,42,"bing"
"D.C. Constance Haber US","female",0.8,4,1,"bing"
"Gary Peter Widdowson HK","male",0.5,1,1,"bing"
"Ajit Shriman Gaunekar HK","male",0.5,1,1,"bing"
"Mark Torrance US","male",0.916666666666667,1,11,"bing"
"Aspi Rustom Wadia US","male",0.5,1,1,"bing"
